Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage origin Port,Leg Start Port/anch,In Transit Port Calls,FIELD9,Timestamp
GAS SUASA,DEPARTURE,Port,SEMARANG,1639799340,,,Not in Transit,Tanker,18/12/2021 10.49
ICON DANIEL,ARRIVAL,Port,SEMARANG,1639785480,SURABAYA,SEMARANG ANCH,Not in Transit,Cargo,18/12/2021 06.58
ORIENTAL PACIFIC,DEPARTURE,Port,SEMARANG,1639783980,,,Not in Transit,Cargo,18/12/2021 06.33
DHARMA RUCITRA 9,DEPARTURE,Port,SEMARANG,1639771680,,,Not in Transit,Cargo,18/12/2021 03.08
KELIMUTU,DEPARTURE,Port,SEMARANG,1639766760,,,Not in Transit,Passenger,18/12/2021 01.46
RIO CADIZ,ARRIVAL,Port,SEMARANG,1639756320,JAKARTA,JAKARTA,Not in Transit,Cargo,17/12/2021 22.52
GANDAWATI 1,DEPARTURE,Port,SEMARANG,1639755420,,,Not in Transit,Tanker,17/12/2021 22.37
KIRANA III,DEPARTURE,Port,SEMARANG,1639750380,,,Not in Transit,Ro-Ro/Passenger,17/12/2021 21.13
DHARMA FERRY 2,DEPARTURE,Port,SEMARANG,1639749300,,,In Transit,Ro-Ro/Passenger,17/12/2021 20.55
ORIENTAL PACIFIC,ARRIVAL,Port,SEMARANG,1639748520,JAKARTA,JAKARTA,Not in Transit,Cargo,17/12/2021 20.42
GAS SUASA,ARRIVAL,Port,SEMARANG,1639744920,KALBUT,KALBUT,Not in Transit,Tanker,17/12/2021 19.42
KELIMUTU,ARRIVAL,Port,SEMARANG,1639733160,KUMAI,KUMAI,Not in Transit,Passenger,17/12/2021 16.26
GAS PATRA,ARRIVAL,Port,SEMARANG,1639732980,MERAK,MERAK ANCH,Not in Transit,Tanker,17/12/2021 16.23
KIRANA III,ARRIVAL,Port,SEMARANG,1639732500,SAMPIT,SEMARANG ANCH,Not in Transit,Ro-Ro/Passenger,17/12/2021 16.15
DHARMA FERRY 2,ARRIVAL,Port,SEMARANG,1639728240,SEMARANG ANCH,SEMARANG ANCH,In Transit,Ro-Ro/Passenger,17/12/2021 15.04
GAS PATRICIA,DEPARTURE,Port,SEMARANG,1639728120,,,Not in Transit,Tanker,17/12/2021 15.02
MERATUS BONTANG,DEPARTURE,Port,SEMARANG,1639726200,,,Not in Transit,Cargo,17/12/2021 14.30
DHARMA RUCITRA 9,ARRIVAL,Port,SEMARANG,1639707600,KUMAI,KUMAI,Not in Transit,Cargo,17/12/2021 09.20
MUTIARA FERINDO 7,DEPARTURE,Port,SEMARANG,1639704720,,,Not in Transit,Ro-Ro/Passenger,17/12/2021 08.32
JAYANEGARA 305,ARRIVAL,Port,SEMARANG,1639698420,SEMARANG,SEMARANG,Not in Transit,Tug,17/12/2021 06.47
GANDAWATI 1,ARRIVAL,Port,SEMARANG,1639698180,JAKARTA,SEMARANG ANCH,Not in Transit,Tanker,17/12/2021 06.43
SHIP TRINITY,DEPARTURE,Port,SEMARANG,1639697700,,,Not in Transit,Tanker,17/12/2021 06.35
BUXLINK,DEPARTURE,Port,SEMARANG,1639697700,,,Not in Transit,Cargo,17/12/2021 06.35
JAYANEGARA 305,DEPARTURE,Port,SEMARANG,1639696260,,,Not in Transit,Tug,17/12/2021 06.11
TB INDO POWER 11,ARRIVAL,Port,SEMARANG,1639694880,,,Not in Transit,Tug,17/12/2021 05.48
TB.TRANS PACIFIC 99,DEPARTURE,Port,SEMARANG,1639683780,,,Not in Transit,Tug,17/12/2021 02.43
MUTIARA FERINDO 7,ARRIVAL,Port,SEMARANG,1639676100,PANJANG,SEMARANG ANCH,Not in Transit,Ro-Ro/Passenger,17/12/2021 00.35
TRADER,DEPARTURE,Port,SEMARANG,1639668720,,,Not in Transit,Tanker,16/12/2021 22.32
MERATUS BONTANG,ARRIVAL,Port,SEMARANG,1639664160,PONTIANAK,PONTIANAK,Not in Transit,Cargo,16/12/2021 21.16
MUTIARA FERINDO 7,DEPARTURE,Port,SEMARANG,1639663020,,,Not in Transit,Ro-Ro/Passenger,16/12/2021 20.57
MERATUS BENOA,DEPARTURE,Port,SEMARANG,1639659420,,,Not in Transit,Cargo,16/12/2021 19.57
NIKI SAE,DEPARTURE,Port,SEMARANG,1639645620,,,Not in Transit,Ro-Ro/Passenger,16/12/2021 16.07
MUTIARA FERINDO 7,ARRIVAL,Port,SEMARANG,1639638720,PANJANG,SEMARANG ANCH,Not in Transit,Ro-Ro/Passenger,16/12/2021 14.12
BUXLINK,ARRIVAL,Port,SEMARANG,1639635420,SURABAYA,SURABAYA,Not in Transit,Cargo,16/12/2021 13.17
JULIANTO MOELIODIHARDJO,DEPARTURE,Port,SEMARANG,1639632420,,,Not in Transit,Cargo,16/12/2021 12.27
OLYMPIA,DEPARTURE,Port,SEMARANG,1639618740,,,Not in Transit,Cargo,16/12/2021 08.39
TB BIAK 77,ARRIVAL,Port,SEMARANG,1639608240,BANJARMASIN,BANJARMASIN,Not in Transit,Tug,16/12/2021 05.44
KIRANA I,ARRIVAL,Port,SEMARANG,1639594500,SAMPIT,SAMPIT,Not in Transit,Ro-Ro/Passenger,16/12/2021 01.55
MERATUS BENOA,ARRIVAL,Port,SEMARANG,1639589940,SURABAYA,SURABAYA,Not in Transit,Cargo,16/12/2021 00.39
TB.MOA,ARRIVAL,Port,SEMARANG,1639586700,SEMARANG ANCH,SEMARANG ANCH,Not in Transit,Tug,15/12/2021 23.45
TRADER,ARRIVAL,Port,SEMARANG,1639586340,SINGAPORE,SINGAPORE,Not in Transit,Tanker,15/12/2021 23.39
SHIP TRINITY,ARRIVAL,Port,SEMARANG,1639583100,KETAPANG,SEMARANG ANCH,Not in Transit,Tanker,15/12/2021 22.45
TRANSKO DARA 3203,ARRIVAL,Port,SEMARANG,1639582980,SEMARANG,SEMARANG,Not in Transit,Tug,15/12/2021 22.43
BIMA 306,ARRIVAL,Port,SEMARANG,1639582440,SEMARANG,SEMARANG,Not in Transit,Tug,15/12/2021 22.34
BIMA 306,DEPARTURE,Port,SEMARANG,1639581420,,,Not in Transit,Tug,15/12/2021 22.17
SANANA,DEPARTURE,Port,SEMARANG,1639580940,,,Not in Transit,Tanker,15/12/2021 22.09
TRANSKO DARA 3203,DEPARTURE,Port,SEMARANG,1639580700,,,Not in Transit,Tug,15/12/2021 22.05
OLYMPIA,ARRIVAL,Port,SEMARANG,1639579380,SURABAYA,SEMARANG ANCH,Not in Transit,Cargo,15/12/2021 21.43
TB.MOA,DEPARTURE,Port,SEMARANG,1639578300,,,Not in Transit,Tug,15/12/2021 21.25
DHARMA KARTIKA VII,DEPARTURE,Port,SEMARANG,1639553520,,,Not in Transit,Cargo,15/12/2021 14.32
KELIMUTU,DEPARTURE,Port,SEMARANG,1639551600,,,Not in Transit,Passenger,15/12/2021 14.00
KIRANA III,DEPARTURE,Port,SEMARANG,1639543740,,,Not in Transit,Ro-Ro/Passenger,15/12/2021 11.49
WAN HAI 283,DEPARTURE,Port,SEMARANG,1639537980,,,Not in Transit,Cargo,15/12/2021 10.13
DHARMA RUCITRA 9,DEPARTURE,Port,SEMARANG,1639536240,,,Not in Transit,Cargo,15/12/2021 09.44
KN DAMARU,ARRIVAL,Port,SEMARANG,1639536240,SEMARANG,SEMARANG,Not in Transit,Other,15/12/2021 09.44
KN DAMARU,DEPARTURE,Port,SEMARANG,1639531680,,,Not in Transit,Other,15/12/2021 08.28
TB MERPATI III,ARRIVAL,Port,SEMARANG,1639522140,,,Not in Transit,Tug,15/12/2021 05.49
DERAJAT,DEPARTURE,Port,SEMARANG,1639521180,,,Not in Transit,Cargo,15/12/2021 05.33
TB APURA 09,DEPARTURE,Port,SEMARANG,1639519380,,,Not in Transit,Tug,15/12/2021 05.03
KELIMUTU,ARRIVAL,Port,SEMARANG,1639517760,SAMPIT,SAMPIT,Not in Transit,Passenger,15/12/2021 04.36
WAN HAI 283,ARRIVAL,Port,SEMARANG,1639485840,JAKARTA,SEMARANG ANCH,Not in Transit,Cargo,14/12/2021 19.44
SITC PYEONGTAEK,DEPARTURE,Port,SEMARANG,1639484820,,,Not in Transit,Cargo,14/12/2021 19.27
DHARMA KARTIKA VII,ARRIVAL,Port,SEMARANG,1639484520,PONTIANAK,PONTIANAK,Not in Transit,Cargo,14/12/2021 19.22
MSC GIANNA,DEPARTURE,Port,SEMARANG,1639472220,,,Not in Transit,Cargo,14/12/2021 15.57
JI HONG,DEPARTURE,Port,SEMARANG,1639471080,,,Not in Transit,Cargo,14/12/2021 15.38
DHARMA RUCITRA 9,ARRIVAL,Port,SEMARANG,1639467720,KUMAI,KUMAI,Not in Transit,Cargo,14/12/2021 14.42
DERAJAT,ARRIVAL,Port,SEMARANG,1639465800,BANJARMASIN,BANJARMASIN,Not in Transit,Cargo,14/12/2021 14.10
P 211,DEPARTURE,Port,SEMARANG,1639444200,,,Not in Transit,Other,14/12/2021 08.10
SANANA,ARRIVAL,Port,SEMARANG,1639442340,SINGAPORE,SEMARANG ANCH,Not in Transit,Tanker,14/12/2021 07.39
TRANSKO DARA 3203,ARRIVAL,Port,SEMARANG,1639442340,JAKARTA,SEMARANG ANCH,Not in Transit,Tug,14/12/2021 07.39
SITC PYEONGTAEK,ARRIVAL,Port,SEMARANG,1639441260,JAKARTA,SEMARANG ANCH,Not in Transit,Cargo,14/12/2021 07.21
SPIRIT OF MUMBAI,DEPARTURE,Port,SEMARANG,1639440240,,,Not in Transit,Cargo,14/12/2021 07.04
GREEN STARS,DEPARTURE,Port,SEMARANG,1639439940,,,Not in Transit,Tanker,14/12/2021 06.59
TRANSKO DARA 3203,DEPARTURE,Port,SEMARANG,1639438980,,,Not in Transit,Tug,14/12/2021 06.43
JI HONG,ARRIVAL,Port,SEMARANG,1639424640,JAKARTA,SEMARANG ANCH,Not in Transit,Cargo,14/12/2021 02.44
GAS ATTAKA,DEPARTURE,Port,SEMARANG,1639419540,,,Not in Transit,Tanker,14/12/2021 01.19
PRATIWI SATU,DEPARTURE,Port,SEMARANG,1639415220,,,Not in Transit,Cargo,14/12/2021 00.07
KLM DWI BAHARI,DEPARTURE,Port,SEMARANG,1639414020,,,In Transit,Cargo,13/12/2021 23.47
GAS PATRICIA,ARRIVAL,Port,SEMARANG,1639409400,MERAK,SEMARANG ANCH,Not in Transit,Tanker,13/12/2021 22.30
GAS PATRA,DEPARTURE,Port,SEMARANG,1639408260,,,Not in Transit,Tanker,13/12/2021 22.11
