Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage origin Port,Leg Start Port/anch,In Transit Port Calls,FIELD9,Timestamp
PUSRI INDONESIA I,DEPARTURE,Port,SEMARANG,44537.69167,,,Not in Transit,Cargo,07/12/2021 23.36
TB.SYUKUR 28,DEPARTURE,Port,SEMARANG,44537.48056,,,Not in Transit,Tug,07/12/2021 18.32
SPIRIT OF MUMBAI,DEPARTURE,Port,SEMARANG,44537.46111,,,Not in Transit,Cargo,07/12/2021 18.04
TIMUR LAUT MAS 2,DEPARTURE,Port,SEMARANG,44537.33333,,,Not in Transit,Tanker,07/12/2021 15.00
MERATUS BONTANG,DEPARTURE,Port,SEMARANG,44537.25833,,,Not in Transit,Cargo,07/12/2021 13.12
EVER COMPOSE,DEPARTURE,Port,SEMARANG,44537.12431,,,Not in Transit,Cargo,07/12/2021 09.59
GANDAWATI 1,ARRIVAL,Port,SEMARANG,44537.12153,KETAPANG,SEMARANG ANCH,Not in Transit,Tanker,07/12/2021 09.55
BIMA 306,ARRIVAL,Port,SEMARANG,44537.12014,SEMARANG,SEMARANG,Not in Transit,Tug,07/12/2021 09.53
BIMA 306,DEPARTURE,Port,SEMARANG,44537.10625,,,Not in Transit,Tug,07/12/2021 09.33
BSP XX,ARRIVAL,Port,SEMARANG,44536.98681,PALEMBANG,SEMARANG ANCH,Not in Transit,Cargo,07/12/2021 06.41
KN. KARIMUNJAWA,DEPARTURE,Port,SEMARANG,44536.91528,,,Not in Transit,Law Enforce,07/12/2021 04.58
EVER COMPOSE,ARRIVAL,Port,SEMARANG,44536.73819,SURABAYA,SURABAYA,Not in Transit,Cargo,07/12/2021 00.43
WAN HAI 216,DEPARTURE,Port,SEMARANG,44536.72361,,,Not in Transit,Cargo,07/12/2021 00.22
DHARMA KARTIKA VII,DEPARTURE,Port,SEMARANG,44536.675,,,Not in Transit,Cargo,06/12/2021 23.12
PACIFIC TEN,DEPARTURE,Port,SEMARANG,44536.35972,,,Not in Transit,Tug,06/12/2021 15.38
DHARMA KARTIKA VII,ARRIVAL,Port,SEMARANG,44536.34931,PONTIANAK,PONTIANAK,Not in Transit,Cargo,06/12/2021 15.23
DHARMA KARTIKA VII,DEPARTURE,Port,SEMARANG,44536.30556,,,In Transit,Cargo,06/12/2021 14.20
DHARMA KARTIKA VII,ARRIVAL,Port,SEMARANG,44536.29583,PONTIANAK,PONTIANAK,In Transit,Cargo,06/12/2021 14.06
DHARMA FERRY 2,DEPARTURE,Port,SEMARANG,44536.27708,,,Not in Transit,Ro-Ro/Passenger,06/12/2021 13.39
MERATUS BONTANG,ARRIVAL,Port,SEMARANG,44536.23264,PONTIANAK,PONTIANAK,Not in Transit,Tanker,06/12/2021 12.35
